district,localities,hhsize,avg_rooms_per_house
LAKKI MARWAT DISTRICT,URBAN,6 PERSONS,2.77
LAKKI MARWAT DISTRICT,URBAN,7 PERSONS,2.92
LAKKI MARWAT DISTRICT,URBAN,8 PERSONS,3.15
LAKKI MARWAT DISTRICT,URBAN,9 PERSONS,3.47
LAKKI MARWAT DISTRICT,URBAN,10 PERSONS AND ABOVE,4.42
LARKANA DISTRICT,RURAL,1 PERSON,1.26
LARKANA DISTRICT,RURAL,2 PERSONS,1.26
LARKANA DISTRICT,RURAL,3 PERSONS,1.33
LARKANA DISTRICT,RURAL,4 PERSONS,1.38
LARKANA DISTRICT,RURAL,5 PERSONS,1.46
LARKANA DISTRICT,RURAL,6 PERSONS,1.5
LARKANA DISTRICT,RURAL,7 PERSONS,1.58
LARKANA DISTRICT,RURAL,8 PERSONS,1.65
LARKANA DISTRICT,RURAL,9 PERSONS,1.75
LARKANA DISTRICT,RURAL,10 PERSONS AND ABOVE,2.08
LARKANA DISTRICT,URBAN,1 PERSON,1.73
LARKANA DISTRICT,URBAN,2 PERSONS,1.76
LARKANA DISTRICT,URBAN,3 PERSONS,1.83
LARKANA DISTRICT,URBAN,4 PERSONS,1.92
LARKANA DISTRICT,URBAN,5 PERSONS,2.05
LARKANA DISTRICT,URBAN,6 PERSONS,2.1
LARKANA DISTRICT,URBAN,7 PERSONS,2.16
LARKANA DISTRICT,URBAN,8 PERSONS,2.23
LARKANA DISTRICT,URBAN,9 PERSONS,2.31
LARKANA DISTRICT,URBAN,10 PERSONS AND ABOVE,2.66
LASBELA DISTRICT,RURAL,1 PERSON,1.15
LASBELA DISTRICT,RURAL,2 PERSONS,1.14
LASBELA DISTRICT,RURAL,3 PERSONS,1.16
LASBELA DISTRICT,RURAL,4 PERSONS,1.21
LASBELA DISTRICT,RURAL,5 PERSONS,1.25
LASBELA DISTRICT,RURAL,6 PERSONS,1.28
LASBELA DISTRICT,RURAL,7 PERSONS,1.33
LASBELA DISTRICT,RURAL,8 PERSONS,1.41
LASBELA DISTRICT,RURAL,9 PERSONS,1.48
LASBELA DISTRICT,RURAL,10 PERSONS AND ABOVE,1.94
LASBELA DISTRICT,URBAN,1 PERSON,1.53
LASBELA DISTRICT,URBAN,2 PERSONS,1.45
LASBELA DISTRICT,URBAN,3 PERSONS,1.57
LASBELA DISTRICT,URBAN,4 PERSONS,1.67
LASBELA DISTRICT,URBAN,5 PERSONS,1.88
LASBELA DISTRICT,URBAN,6 PERSONS,1.95
LASBELA DISTRICT,URBAN,7 PERSONS,2.05
LASBELA DISTRICT,URBAN,8 PERSONS,2.15
LASBELA DISTRICT,URBAN,9 PERSONS,2.36
LASBELA DISTRICT,URBAN,10 PERSONS AND ABOVE,3.15
LAYYAH DISTRICT,RURAL,1 PERSON,1.54
LAYYAH DISTRICT,RURAL,2 PERSONS,1.48
LAYYAH DISTRICT,RURAL,3 PERSONS,1.61
LAYYAH DISTRICT,RURAL,4 PERSONS,1.76
LAYYAH DISTRICT,RURAL,5 PERSONS,1.91
LAYYAH DISTRICT,RURAL,6 PERSONS,2.06
LAYYAH DISTRICT,RURAL,7 PERSONS,2.19
LAYYAH DISTRICT,RURAL,8 PERSONS,2.35
LAYYAH DISTRICT,RURAL,9 PERSONS,2.56
LAYYAH DISTRICT,RURAL,10 PERSONS AND ABOVE,3.42
LAYYAH DISTRICT,URBAN,1 PERSON,2.15
LAYYAH DISTRICT,URBAN,2 PERSONS,2.23
LAYYAH DISTRICT,URBAN,3 PERSONS,2.37
LAYYAH DISTRICT,URBAN,4 PERSONS,2.53
LAYYAH DISTRICT,URBAN,5 PERSONS,2.69
LAYYAH DISTRICT,URBAN,6 PERSONS,2.74
LAYYAH DISTRICT,URBAN,7 PERSONS,2.86
LAYYAH DISTRICT,URBAN,8 PERSONS,2.99
LAYYAH DISTRICT,URBAN,9 PERSONS,3.21
LAYYAH DISTRICT,URBAN,10 PERSONS AND ABOVE,3.98
LODHRAN DISTRICT,RURAL,1 PERSON,1.72
LODHRAN DISTRICT,RURAL,2 PERSONS,1.7
LODHRAN DISTRICT,RURAL,3 PERSONS,1.85
LODHRAN DISTRICT,RURAL,4 PERSONS,1.99
LODHRAN DISTRICT,RURAL,5 PERSONS,2.11
LODHRAN DISTRICT,RURAL,6 PERSONS,2.26
LODHRAN DISTRICT,RURAL,7 PERSONS,2.4
LODHRAN DISTRICT,RURAL,8 PERSONS,2.56
LODHRAN DISTRICT,RURAL,9 PERSONS,2.78
LODHRAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.56
LODHRAN DISTRICT,URBAN,1 PERSON,2
LODHRAN DISTRICT,URBAN,2 PERSONS,2.01
LODHRAN DISTRICT,URBAN,3 PERSONS,2.19
LODHRAN DISTRICT,URBAN,4 PERSONS,2.33
LODHRAN DISTRICT,URBAN,5 PERSONS,2.49
LODHRAN DISTRICT,URBAN,6 PERSONS,2.64
LODHRAN DISTRICT,URBAN,7 PERSONS,2.74
LODHRAN DISTRICT,URBAN,8 PERSONS,2.95
LODHRAN DISTRICT,URBAN,9 PERSONS,3.09
LODHRAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.92
LORALAI DISTRICT,RURAL,1 PERSON,1.64
LORALAI DISTRICT,RURAL,2 PERSONS,1.92
LORALAI DISTRICT,RURAL,3 PERSONS,2.15
LORALAI DISTRICT,RURAL,4 PERSONS,2.32
LORALAI DISTRICT,RURAL,5 PERSONS,2.49
LORALAI DISTRICT,RURAL,6 PERSONS,2.66
LORALAI DISTRICT,RURAL,7 PERSONS,2.81
LORALAI DISTRICT,RURAL,8 PERSONS,3.01
LORALAI DISTRICT,RURAL,9 PERSONS,3.2
LORALAI DISTRICT,RURAL,10 PERSONS AND ABOVE,3.96
LORALAI DISTRICT,URBAN,1 PERSON,2.29
LORALAI DISTRICT,URBAN,2 PERSONS,2.43
LORALAI DISTRICT,URBAN,3 PERSONS,2.51
LORALAI DISTRICT,URBAN,4 PERSONS,2.65
LORALAI DISTRICT,URBAN,5 PERSONS,2.89
LORALAI DISTRICT,URBAN,6 PERSONS,2.9
LORALAI DISTRICT,URBAN,7 PERSONS,3.23
LORALAI DISTRICT,URBAN,8 PERSONS,3.17
LORALAI DISTRICT,URBAN,9 PERSONS,3.27
LORALAI DISTRICT,URBAN,10 PERSONS AND ABOVE,4.1
LOWER DIR DISTRICT,RURAL,1 PERSON,2.35
LOWER DIR DISTRICT,RURAL,2 PERSONS,2.12
LOWER DIR DISTRICT,RURAL,3 PERSONS,2.32
LOWER DIR DISTRICT,RURAL,4 PERSONS,2.47
LOWER DIR DISTRICT,RURAL,5 PERSONS,2.69
LOWER DIR DISTRICT,RURAL,6 PERSONS,2.93
LOWER DIR DISTRICT,RURAL,7 PERSONS,3.13
LOWER DIR DISTRICT,RURAL,8 PERSONS,3.33
LOWER DIR DISTRICT,RURAL,9 PERSONS,3.5
LOWER DIR DISTRICT,RURAL,10 PERSONS AND ABOVE,4.72
LOWER DIR DISTRICT,URBAN,1 PERSON,2.15
LOWER DIR DISTRICT,URBAN,2 PERSONS,2.39
LOWER DIR DISTRICT,URBAN,3 PERSONS,2.68
LOWER DIR DISTRICT,URBAN,4 PERSONS,2.8
LOWER DIR DISTRICT,URBAN,5 PERSONS,2.97
LOWER DIR DISTRICT,URBAN,6 PERSONS,3.21
LOWER DIR DISTRICT,URBAN,7 PERSONS,3.51
LOWER DIR DISTRICT,URBAN,8 PERSONS,3.39
LOWER DIR DISTRICT,URBAN,9 PERSONS,3.94
LOWER DIR DISTRICT,URBAN,10 PERSONS AND ABOVE,4.78
MALAKAND PROTECTED AREA,RURAL,1 PERSON,2.2
MALAKAND PROTECTED AREA,RURAL,2 PERSONS,2.24
MALAKAND PROTECTED AREA,RURAL,3 PERSONS,2.37
MALAKAND PROTECTED AREA,RURAL,4 PERSONS,2.51
MALAKAND PROTECTED AREA,RURAL,5 PERSONS,2.61
MALAKAND PROTECTED AREA,RURAL,6 PERSONS,2.79
MALAKAND PROTECTED AREA,RURAL,7 PERSONS,2.92
MALAKAND PROTECTED AREA,RURAL,8 PERSONS,3.14
MALAKAND PROTECTED AREA,RURAL,9 PERSONS,3.33
MALAKAND PROTECTED AREA,RURAL,10 PERSONS AND ABOVE,4.39
MALAKAND PROTECTED AREA,URBAN,1 PERSON,2.38
MALAKAND PROTECTED AREA,URBAN,2 PERSONS,2.75
MALAKAND PROTECTED AREA,URBAN,3 PERSONS,2.71
MALAKAND PROTECTED AREA,URBAN,4 PERSONS,2.71
MALAKAND PROTECTED AREA,URBAN,5 PERSONS,2.77
MALAKAND PROTECTED AREA,URBAN,6 PERSONS,2.9
MALAKAND PROTECTED AREA,URBAN,7 PERSONS,3.07
MALAKAND PROTECTED AREA,URBAN,8 PERSONS,3.16
MALAKAND PROTECTED AREA,URBAN,9 PERSONS,3.33
MALAKAND PROTECTED AREA,URBAN,10 PERSONS AND ABOVE,4.48
MALIR DISTRICT,RURAL,1 PERSON,1.39
MALIR DISTRICT,RURAL,2 PERSONS,1.46
MALIR DISTRICT,RURAL,3 PERSONS,1.59
MALIR DISTRICT,RURAL,4 PERSONS,1.74
MALIR DISTRICT,RURAL,5 PERSONS,1.9
MALIR DISTRICT,RURAL,6 PERSONS,2.03
MALIR DISTRICT,RURAL,7 PERSONS,2.12
MALIR DISTRICT,RURAL,8 PERSONS,2.26
MALIR DISTRICT,RURAL,9 PERSONS,2.44
MALIR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.07
MALIR DISTRICT,URBAN,1 PERSON,1.66
MALIR DISTRICT,URBAN,2 PERSONS,1.76
MALIR DISTRICT,URBAN,3 PERSONS,1.88
MALIR DISTRICT,URBAN,4 PERSONS,2.04
MALIR DISTRICT,URBAN,5 PERSONS,2.17
MALIR DISTRICT,URBAN,6 PERSONS,2.28
MALIR DISTRICT,URBAN,7 PERSONS,2.38
MALIR DISTRICT,URBAN,8 PERSONS,2.51
MALIR DISTRICT,URBAN,9 PERSONS,2.69
MALIR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.43
MANDI BAHAUDDIN DISTRICT,RURAL,1 PERSON,2.31
MANDI BAHAUDDIN DISTRICT,RURAL,2 PERSONS,2.28
MANDI BAHAUDDIN DISTRICT,RURAL,3 PERSONS,2.44
MANDI BAHAUDDIN DISTRICT,RURAL,4 PERSONS,2.54
MANDI BAHAUDDIN DISTRICT,RURAL,5 PERSONS,2.65
MANDI BAHAUDDIN DISTRICT,RURAL,6 PERSONS,2.75
MANDI BAHAUDDIN DISTRICT,RURAL,7 PERSONS,2.88
MANDI BAHAUDDIN DISTRICT,RURAL,8 PERSONS,3.07
MANDI BAHAUDDIN DISTRICT,RURAL,9 PERSONS,3.27
MANDI BAHAUDDIN DISTRICT,RURAL,10 PERSONS AND ABOVE,4.09
MANDI BAHAUDDIN DISTRICT,URBAN,1 PERSON,2.47
MANDI BAHAUDDIN DISTRICT,URBAN,2 PERSONS,2.53
MANDI BAHAUDDIN DISTRICT,URBAN,3 PERSONS,2.62
MANDI BAHAUDDIN DISTRICT,URBAN,4 PERSONS,2.74
MANDI BAHAUDDIN DISTRICT,URBAN,5 PERSONS,2.85
MANDI BAHAUDDIN DISTRICT,URBAN,6 PERSONS,2.96
MANDI BAHAUDDIN DISTRICT,URBAN,7 PERSONS,3.09
MANDI BAHAUDDIN DISTRICT,URBAN,8 PERSONS,3.23
MANDI BAHAUDDIN DISTRICT,URBAN,9 PERSONS,3.41
MANDI BAHAUDDIN DISTRICT,URBAN,10 PERSONS AND ABOVE,4.24
MARDAN DISTRICT,RURAL,1 PERSON,1.96
MARDAN DISTRICT,RURAL,2 PERSONS,1.89
MARDAN DISTRICT,RURAL,3 PERSONS,2
MARDAN DISTRICT,RURAL,4 PERSONS,2.1
MARDAN DISTRICT,RURAL,5 PERSONS,2.26
MARDAN DISTRICT,RURAL,6 PERSONS,2.38
MARDAN DISTRICT,RURAL,7 PERSONS,2.5
MARDAN DISTRICT,RURAL,8 PERSONS,2.69
MARDAN DISTRICT,RURAL,9 PERSONS,2.88
MARDAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.89
MARDAN DISTRICT,URBAN,1 PERSON,2.07
MARDAN DISTRICT,URBAN,2 PERSONS,2.15
MARDAN DISTRICT,URBAN,3 PERSONS,2.24
MARDAN DISTRICT,URBAN,4 PERSONS,2.33
MARDAN DISTRICT,URBAN,5 PERSONS,2.47
MARDAN DISTRICT,URBAN,6 PERSONS,2.56
MARDAN DISTRICT,URBAN,7 PERSONS,2.71
MARDAN DISTRICT,URBAN,8 PERSONS,2.83
MARDAN DISTRICT,URBAN,9 PERSONS,3.06
MARDAN DISTRICT,URBAN,10 PERSONS AND ABOVE,4.04
MASNSEHRA DISTRICT,RURAL,1 PERSON,1.79
MASNSEHRA DISTRICT,RURAL,2 PERSONS,1.84
MASNSEHRA DISTRICT,RURAL,3 PERSONS,2
MASNSEHRA DISTRICT,RURAL,4 PERSONS,2.16
MASNSEHRA DISTRICT,RURAL,5 PERSONS,2.32
MASNSEHRA DISTRICT,RURAL,6 PERSONS,2.46
MASNSEHRA DISTRICT,RURAL,7 PERSONS,2.59
MASNSEHRA DISTRICT,RURAL,8 PERSONS,2.73
MASNSEHRA DISTRICT,RURAL,9 PERSONS,2.92
MASNSEHRA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.66
MASNSEHRA DISTRICT,URBAN,1 PERSON,2.01
MASNSEHRA DISTRICT,URBAN,2 PERSONS,2.44
MASNSEHRA DISTRICT,URBAN,3 PERSONS,2.65
MASNSEHRA DISTRICT,URBAN,4 PERSONS,2.78
MASNSEHRA DISTRICT,URBAN,5 PERSONS,2.94
MASNSEHRA DISTRICT,URBAN,6 PERSONS,3.11
MASNSEHRA DISTRICT,URBAN,7 PERSONS,3.31
MASNSEHRA DISTRICT,URBAN,8 PERSONS,3.37
MASNSEHRA DISTRICT,URBAN,9 PERSONS,3.74
MASNSEHRA DISTRICT,URBAN,10 PERSONS AND ABOVE,4.41
MASTUNG DISTRICT,RURAL,1 PERSON,2.14
MASTUNG DISTRICT,RURAL,2 PERSONS,2.46
MASTUNG DISTRICT,RURAL,3 PERSONS,2.66
MASTUNG DISTRICT,RURAL,4 PERSONS,2.85
MASTUNG DISTRICT,RURAL,5 PERSONS,3.09
MASTUNG DISTRICT,RURAL,6 PERSONS,3.28
MASTUNG DISTRICT,RURAL,7 PERSONS,3.42
MASTUNG DISTRICT,RURAL,8 PERSONS,3.69
MASTUNG DISTRICT,RURAL,9 PERSONS,3.97
MASTUNG DISTRICT,RURAL,10 PERSONS AND ABOVE,4.64
MASTUNG DISTRICT,URBAN,1 PERSON,2.17
MASTUNG DISTRICT,URBAN,2 PERSONS,2.48
MASTUNG DISTRICT,URBAN,3 PERSONS,2.63
MASTUNG DISTRICT,URBAN,4 PERSONS,2.79
MASTUNG DISTRICT,URBAN,5 PERSONS,2.97
MASTUNG DISTRICT,URBAN,6 PERSONS,3.17
MASTUNG DISTRICT,URBAN,7 PERSONS,3.36
MASTUNG DISTRICT,URBAN,8 PERSONS,3.53
MASTUNG DISTRICT,URBAN,9 PERSONS,3.65
MASTUNG DISTRICT,URBAN,10 PERSONS AND ABOVE,4.28
MATIARI DISTRICT,RURAL,1 PERSON,1.2
MATIARI DISTRICT,RURAL,2 PERSONS,1.19
MATIARI DISTRICT,RURAL,3 PERSONS,1.22
MATIARI DISTRICT,RURAL,4 PERSONS,1.27
MATIARI DISTRICT,RURAL,5 PERSONS,1.3
MATIARI DISTRICT,RURAL,6 PERSONS,1.36
MATIARI DISTRICT,RURAL,7 PERSONS,1.4
MATIARI DISTRICT,RURAL,8 PERSONS,1.48
MATIARI DISTRICT,RURAL,9 PERSONS,1.53
MATIARI DISTRICT,RURAL,10 PERSONS AND ABOVE,1.84
MATIARI DISTRICT,URBAN,1 PERSON,1.48
MATIARI DISTRICT,URBAN,2 PERSONS,1.41
MATIARI DISTRICT,URBAN,3 PERSONS,1.5
MATIARI DISTRICT,URBAN,4 PERSONS,1.58
MATIARI DISTRICT,URBAN,5 PERSONS,1.66
MATIARI DISTRICT,URBAN,6 PERSONS,1.73
MATIARI DISTRICT,URBAN,7 PERSONS,1.77
MATIARI DISTRICT,URBAN,8 PERSONS,1.86
MATIARI DISTRICT,URBAN,9 PERSONS,1.96
MATIARI DISTRICT,URBAN,10 PERSONS AND ABOVE,2.42
MIANWALI DISTRICT,RURAL,1 PERSON,1.96
MIANWALI DISTRICT,RURAL,2 PERSONS,1.99
MIANWALI DISTRICT,RURAL,3 PERSONS,2.13
MIANWALI DISTRICT,RURAL,4 PERSONS,2.32
MIANWALI DISTRICT,RURAL,5 PERSONS,2.52
MIANWALI DISTRICT,RURAL,6 PERSONS,2.68
MIANWALI DISTRICT,RURAL,7 PERSONS,2.87
MIANWALI DISTRICT,RURAL,8 PERSONS,3.07
MIANWALI DISTRICT,RURAL,9 PERSONS,3.31
MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,4.13
MIANWALI DISTRICT,URBAN,1 PERSON,2
MIANWALI DISTRICT,URBAN,2 PERSONS,2.06
MIANWALI DISTRICT,URBAN,3 PERSONS,2.18
MIANWALI DISTRICT,URBAN,4 PERSONS,2.35
MIANWALI DISTRICT,URBAN,5 PERSONS,2.54
MIANWALI DISTRICT,URBAN,6 PERSONS,2.69
MIANWALI DISTRICT,URBAN,7 PERSONS,2.9
MIANWALI DISTRICT,URBAN,8 PERSONS,3.11
MIANWALI DISTRICT,URBAN,9 PERSONS,3.27
MIANWALI DISTRICT,URBAN,10 PERSONS AND ABOVE,4.2
MIRPUR KHAS DISTRICT,RURAL,1 PERSON,1.17
MIRPUR KHAS DISTRICT,RURAL,2 PERSONS,1.16
MIRPUR KHAS DISTRICT,RURAL,3 PERSONS,1.2
MIRPUR KHAS DISTRICT,RURAL,4 PERSONS,1.25
MIRPUR KHAS DISTRICT,RURAL,5 PERSONS,1.3
MIRPUR KHAS DISTRICT,RURAL,6 PERSONS,1.34
MIRPUR KHAS DISTRICT,RURAL,7 PERSONS,1.4
MIRPUR KHAS DISTRICT,RURAL,8 PERSONS,1.48
MIRPUR KHAS DISTRICT,RURAL,9 PERSONS,1.55
MIRPUR KHAS DISTRICT,RURAL,10 PERSONS AND ABOVE,1.94
MIRPUR KHAS DISTRICT,URBAN,1 PERSON,1.67
MIRPUR KHAS DISTRICT,URBAN,2 PERSONS,1.57
MIRPUR KHAS DISTRICT,URBAN,3 PERSONS,1.66
MIRPUR KHAS DISTRICT,URBAN,4 PERSONS,1.81
MIRPUR KHAS DISTRICT,URBAN,5 PERSONS,1.95
MIRPUR KHAS DISTRICT,URBAN,6 PERSONS,2.06
MIRPUR KHAS DISTRICT,URBAN,7 PERSONS,2.16
MIRPUR KHAS DISTRICT,URBAN,8 PERSONS,2.22
MIRPUR KHAS DISTRICT,URBAN,9 PERSONS,2.35
MIRPUR KHAS DISTRICT,URBAN,10 PERSONS AND ABOVE,3.01
MOHMAND AGENCY,RURAL,1 PERSON,2
MOHMAND AGENCY,RURAL,2 PERSONS,2.13
MOHMAND AGENCY,RURAL,3 PERSONS,2.29
MOHMAND AGENCY,RURAL,4 PERSONS,2.48
MOHMAND AGENCY,RURAL,5 PERSONS,2.65
MOHMAND AGENCY,RURAL,6 PERSONS,2.83
MOHMAND AGENCY,RURAL,7 PERSONS,3.05
MOHMAND AGENCY,RURAL,8 PERSONS,4.18
MOHMAND AGENCY,RURAL,9 PERSONS,3.19
MOHMAND AGENCY,RURAL,10 PERSONS AND ABOVE,
MOHMAND AGENCY,URBAN,1 PERSON,
MOHMAND AGENCY,URBAN,2 PERSONS,
MOHMAND AGENCY,URBAN,3 PERSONS,
MOHMAND AGENCY,URBAN,4 PERSONS,
MOHMAND AGENCY,URBAN,5 PERSONS,
MOHMAND AGENCY,URBAN,6 PERSONS,
MOHMAND AGENCY,URBAN,7 PERSONS,
MOHMAND AGENCY,URBAN,8 PERSONS,
MOHMAND AGENCY,URBAN,9 PERSONS,
MOHMAND AGENCY,URBAN,10 PERSONS AND ABOVE,
MULTAN DISTRICT,RURAL,1 PERSON,1.51
MULTAN DISTRICT,RURAL,2 PERSONS,1.51
MULTAN DISTRICT,RURAL,3 PERSONS,1.65
MULTAN DISTRICT,RURAL,4 PERSONS,1.77
MULTAN DISTRICT,RURAL,5 PERSONS,1.9
MULTAN DISTRICT,RURAL,6 PERSONS,2
MULTAN DISTRICT,RURAL,7 PERSONS,2.11
MULTAN DISTRICT,RURAL,8 PERSONS,2.25
MULTAN DISTRICT,RURAL,9 PERSONS,2.44
MULTAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.14
MULTAN DISTRICT,URBAN,1 PERSON,2.01
MULTAN DISTRICT,URBAN,2 PERSONS,1.97
MULTAN DISTRICT,URBAN,3 PERSONS,2.1
MULTAN DISTRICT,URBAN,4 PERSONS,2.24
MULTAN DISTRICT,URBAN,5 PERSONS,2.38
MULTAN DISTRICT,URBAN,6 PERSONS,2.47
MULTAN DISTRICT,URBAN,7 PERSONS,2.58
MULTAN DISTRICT,URBAN,8 PERSONS,2.72
MULTAN DISTRICT,URBAN,9 PERSONS,2.91
MULTAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.63
MUSAKHEL DISTRICT,RURAL,1 PERSON,2.05
MUSAKHEL DISTRICT,RURAL,2 PERSONS,2.03
MUSAKHEL DISTRICT,RURAL,3 PERSONS,2.26
MUSAKHEL DISTRICT,RURAL,4 PERSONS,2.41
MUSAKHEL DISTRICT,RURAL,5 PERSONS,2.55
MUSAKHEL DISTRICT,RURAL,6 PERSONS,2.64
MUSAKHEL DISTRICT,RURAL,7 PERSONS,2.79
MUSAKHEL DISTRICT,RURAL,8 PERSONS,3.03
MUSAKHEL DISTRICT,RURAL,9 PERSONS,3.23
MUSAKHEL DISTRICT,RURAL,10 PERSONS AND ABOVE,3.55
MUSAKHEL DISTRICT,URBAN,1 PERSON,2.83
MUSAKHEL DISTRICT,URBAN,2 PERSONS,2.76
MUSAKHEL DISTRICT,URBAN,3 PERSONS,2.95
MUSAKHEL DISTRICT,URBAN,4 PERSONS,2.84
MUSAKHEL DISTRICT,URBAN,5 PERSONS,3.16
MUSAKHEL DISTRICT,URBAN,6 PERSONS,3.06
MUSAKHEL DISTRICT,URBAN,7 PERSONS,3.34
MUSAKHEL DISTRICT,URBAN,8 PERSONS,3.62
MUSAKHEL DISTRICT,URBAN,9 PERSONS,3.73
MUSAKHEL DISTRICT,URBAN,10 PERSONS AND ABOVE,4.76
MUZAFFARGARH DISTRICT,RURAL,1 PERSON,1.38
MUZAFFARGARH DISTRICT,RURAL,2 PERSONS,1.34
MUZAFFARGARH DISTRICT,RURAL,3 PERSONS,1.45
MUZAFFARGARH DISTRICT,RURAL,4 PERSONS,1.56
MUZAFFARGARH DISTRICT,RURAL,5 PERSONS,1.69
MUZAFFARGARH DISTRICT,RURAL,6 PERSONS,1.81
MUZAFFARGARH DISTRICT,RURAL,7 PERSONS,1.92
MUZAFFARGARH DISTRICT,RURAL,8 PERSONS,2.06
MUZAFFARGARH DISTRICT,RURAL,9 PERSONS,2.22
MUZAFFARGARH DISTRICT,RURAL,10 PERSONS AND ABOVE,2.94
MUZAFFARGARH DISTRICT,URBAN,1 PERSON,1.8
MUZAFFARGARH DISTRICT,URBAN,2 PERSONS,1.71
MUZAFFARGARH DISTRICT,URBAN,3 PERSONS,1.87
MUZAFFARGARH DISTRICT,URBAN,4 PERSONS,2.03
MUZAFFARGARH DISTRICT,URBAN,5 PERSONS,2.22
MUZAFFARGARH DISTRICT,URBAN,6 PERSONS,2.34
MUZAFFARGARH DISTRICT,URBAN,7 PERSONS,2.41
MUZAFFARGARH DISTRICT,URBAN,8 PERSONS,2.55
MUZAFFARGARH DISTRICT,URBAN,9 PERSONS,2.74
MUZAFFARGARH DISTRICT,URBAN,10 PERSONS AND ABOVE,3.44
NANKANA SAHIB DISTRICT,RURAL,1 PERSON,1.84
NANKANA SAHIB DISTRICT,RURAL,2 PERSONS,1.81
NANKANA SAHIB DISTRICT,RURAL,3 PERSONS,1.96
NANKANA SAHIB DISTRICT,RURAL,4 PERSONS,2.08
NANKANA SAHIB DISTRICT,RURAL,5 PERSONS,2.22
NANKANA SAHIB DISTRICT,RURAL,6 PERSONS,2.31
NANKANA SAHIB DISTRICT,RURAL,7 PERSONS,2.44
NANKANA SAHIB DISTRICT,RURAL,8 PERSONS,2.59
NANKANA SAHIB DISTRICT,RURAL,9 PERSONS,2.76
NANKANA SAHIB DISTRICT,RURAL,10 PERSONS AND ABOVE,3.45
NANKANA SAHIB DISTRICT,URBAN,1 PERSON,2.08
NANKANA SAHIB DISTRICT,URBAN,2 PERSONS,2.05
NANKANA SAHIB DISTRICT,URBAN,3 PERSONS,2.19
NANKANA SAHIB DISTRICT,URBAN,4 PERSONS,2.3
NANKANA SAHIB DISTRICT,URBAN,5 PERSONS,2.46
NANKANA SAHIB DISTRICT,URBAN,6 PERSONS,2.58
NANKANA SAHIB DISTRICT,URBAN,7 PERSONS,2.69
NANKANA SAHIB DISTRICT,URBAN,8 PERSONS,2.83
NANKANA SAHIB DISTRICT,URBAN,9 PERSONS,3.12
NANKANA SAHIB DISTRICT,URBAN,10 PERSONS AND ABOVE,3.73
NAROWAL DISTRICT,RURAL,1 PERSON,2.22
NAROWAL DISTRICT,RURAL,2 PERSONS,2.43
NAROWAL DISTRICT,RURAL,3 PERSONS,2.54
NAROWAL DISTRICT,RURAL,4 PERSONS,2.65
NAROWAL DISTRICT,RURAL,5 PERSONS,2.76
NAROWAL DISTRICT,RURAL,6 PERSONS,2.86
NAROWAL DISTRICT,RURAL,7 PERSONS,2.99
NAROWAL DISTRICT,RURAL,8 PERSONS,3.14
NAROWAL DISTRICT,RURAL,9 PERSONS,3.31
NAROWAL DISTRICT,RURAL,10 PERSONS AND ABOVE,4.09
NAROWAL DISTRICT,URBAN,1 PERSON,2.42
NAROWAL DISTRICT,URBAN,2 PERSONS,2.64
NAROWAL DISTRICT,URBAN,3 PERSONS,2.67
NAROWAL DISTRICT,URBAN,4 PERSONS,2.82
NAROWAL DISTRICT,URBAN,5 PERSONS,2.93
NAROWAL DISTRICT,URBAN,6 PERSONS,3.03
NAROWAL DISTRICT,URBAN,7 PERSONS,3.15
NAROWAL DISTRICT,URBAN,8 PERSONS,3.27
NAROWAL DISTRICT,URBAN,9 PERSONS,3.57
NAROWAL DISTRICT,URBAN,10 PERSONS AND ABOVE,4.23
NASIRABAD DISTRICT,RURAL,1 PERSON,1.28
NASIRABAD DISTRICT,RURAL,2 PERSONS,1.3
NASIRABAD DISTRICT,RURAL,3 PERSONS,1.38
NASIRABAD DISTRICT,RURAL,4 PERSONS,1.44
NASIRABAD DISTRICT,RURAL,5 PERSONS,1.48
NASIRABAD DISTRICT,RURAL,6 PERSONS,1.6
NASIRABAD DISTRICT,RURAL,7 PERSONS,1.66
NASIRABAD DISTRICT,RURAL,8 PERSONS,1.75
NASIRABAD DISTRICT,RURAL,9 PERSONS,1.84
NASIRABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,2.27
NASIRABAD DISTRICT,URBAN,1 PERSON,1.65
NASIRABAD DISTRICT,URBAN,2 PERSONS,1.3
NASIRABAD DISTRICT,URBAN,3 PERSONS,1.43
NASIRABAD DISTRICT,URBAN,4 PERSONS,1.5
NASIRABAD DISTRICT,URBAN,5 PERSONS,1.59
NASIRABAD DISTRICT,URBAN,6 PERSONS,1.7
NASIRABAD DISTRICT,URBAN,7 PERSONS,1.77
NASIRABAD DISTRICT,URBAN,8 PERSONS,1.88
NASIRABAD DISTRICT,URBAN,9 PERSONS,1.95
NASIRABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,2.57
